,,,,,,,,,,,,,,,,,,,,,,,,,
,KODE AKUN,,PROGRAM/KEG/KOUTPUT/SUBOUTPUT/KOMPONEN/SUBKOMP/DETIL,,,VOL,SAT,H SATUAN,PAGU,REALISASI,,,,SALDO,,,,,,,,,,,
,,,,,,,,,,SP2D,%,AKRURAL,%,SP2D,AKRURAL,,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,transport petugas [10 Org x 1 KEG x 5 KL x 1 Lok,,50,OK,170000,8500000,,,,,_(* 8500000_),_(* 8500000_),,,,,,,,,,
,F,,Permakanan dan Perawatan Siswa,,,,,,874500000,41749500,,75499500,,_(* 832750500_),_(* 799000500_),,,,,,,,,,
,521112,,Belanja Pengadaan Bahan Makanan,,,,,,772500000,41625000,,75375000,,_(* 730875000_),_(* 697125000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Makan Siswa [25 Org x 3 KL x 365 HR x 1 ROM,,27375,OH,15000,410625000,31125000,,54375000,,_(* 379500000_),_(* 356250000_),,,,,,,,,,
,,,  - ,Air Minum [25 BH x 12 BLN x 30 HR x 1 LOK,,9000,OH,25000,225000000,,,,,_(* 225000000_),_(* 225000000_),,,,,,,,,,
,,,  - ,Snack Siswa [25 Org x 2 KL x 365 HR x 1 ROM,,18250,OH,7500,136875000,10500000,,21000000,,_(* 126375000_),_(* 115875000_),,,,,,,,,,
,521219,,Belanja Barang Non Operasional Lainnya,,,,,,102000000,124500,,124500,,_(* 101875500_),_(* 101875500_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
,,,  - ,Kesehatan Siswa [15 Org x 12 Bln x 1 LOK],,180,OH,500000,90000000,124500,,124500,,_(* 89875500_),_(* 89875500_),,,,,,,,,,
,,,  - ,Perawatan Diri [25 Org x 12 Bln x 1 Rom],,300,OH,40000,12000000,,,,,_(* 12000000_),_(* 12000000_),,,,,,,,,,
,G,,Perlengkapan Operasional Sekolah,,,,,,40936000,0,,4609000,,_(* 40936000_),_(* 36327000_),,,,,,,,,,
,521811,,Belanja Barang Persediaan Barang Konsumsi,,,,,,40936000,0,,4609000,,_(* 40936000_),_(* 36327000_),,,,,,,,,,
,,,(KPPN.182-Jakarta VII ),,,,,,,,,,,_(* 0_),_(* 0_),,,,,,,,,,
